"Type","Path","Name","Description","Unit"
"Hierarchy","\Hierarchy","Hierarchy","",""
"Set","\Hierarchy\UP2 DUMAI","UP2 DUMAI","",""
"Set","\Hierarchy\UP2 DUMAI\HSC","HSC","",""
"Set","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000","HSC 301-3000","",""
"Machine","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B","301 PLP 1B","",""
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\1M NDE V-VEL","1M NDE V-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\1M NDE H-VEL","1M NDE H-VEL","@001","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\1M NDE H-ENV","1M NDE H-ENV","@001","gE"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\1M NDE H-ACC","1M NDE H-ACC","@001","g"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE V-VEL","2M DE V-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE H-VEL","2M DE H-VEL","@002","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE H-ENV","2M DE H-ENV","@002","gE"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE H-ACC","2M DE H-ACC","@002","g"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE A-VEL","2M DE A-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\3P DE V-VEL","3P DE V-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\3P DE H-VEL","3P DE H-VEL","@003","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\3P DE H-ENV","3P DE H-ENV","@003","gE"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\3P DE H-ACC","3P DE H-ACC","@003","g"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\4P NDE V-VEL","4P NDE V-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\4P NDE H-VEL","4P NDE H-VEL","@004","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\4P NDE H-ENV","4P NDE H-ENV","@004","gE"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\4P NDE H-ACC","4P NDE H-ACC","@004","g"
"POINT","\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\4P NDE A-VEL","4P NDE A-VEL","","mm/s"
