"Point Path","DTS","Unit","Detection","Value","Channel"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE V-VEL","4/1/2016 11:13:59","mm/s","Peak","0.855243","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE V-VEL","3/31/2016 16:48:36","mm/s","Peak","1.371426","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE V-VEL","3/30/2016 09:23:21","mm/s","Peak","1.636402","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE V-VEL","3/4/2016 08:33:18","mm/s","Peak","1.569109","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE V-VEL","2/28/2016 21:38:43","mm/s","Peak","1.483810","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE H-VEL","4/1/2016 11:14:10","mm/s","Peak","3.525498","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE H-VEL","3/31/2016 09:17:04","mm/s","Peak","3.751030","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE H-VEL","3/30/2016 09:23:49","mm/s","Peak","2.746971","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE H-VEL","3/4/2016 08:33:31","mm/s","Peak","3.294778","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE H-VEL","2/28/2016 21:38:52","mm/s","Peak","3.053682","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE H-ENV3","4/1/2016 11:14:15","gE","Peak to Peak","1.496567","1"
"\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24A\1M NDE H-ENV3","3/31/2016 09:17:07","gE","Peak to Peak","1.210608","1"
